해설|정답|개수|문제
독점F|F||오늘날 행정의 활동은 정치권력을 배경으로 공공서비스의 생산 및 공급을 정부가 독점한다.
|F||정치는 효율성을 확보하는 과정인데 반해 행정은 민주성을 확보하는 과정이다.
|F||행정의 적극적 기능과 행정입법의 확대를 지지하는 입장에서는 정치와 행정을 엄격히 분리한다.
|T||정치행정일원론에서 공공조직의 관리자들은 정책을 구체화하면서 정책결정 기능을 수행한다.
집행한다.(결정F)|F||정치행정이원론에서 행정은 원리에 충실하면서 국가의사를 과학적 원칙과 원리에 따라서 결정하여야 한다.
정치행정이원론은 일원론의 성립에 기여하였다.|F||정치행정이원론은 공사행정이원론의 성립에 기여하였다. 
|T||정치행정이원론은 엽관주의를 극복하기 위한 이론으로 대두되었으며, 실적주의 확립의 필요성에서 등장하였다.
|F||애플비(Appleby)는 정치는 국가의 의지를 표명하고 정책을 구현하는 것이며 행정은 이를 실천하는 것으로 정치와 행정의 차이를 명확히 구분했다.
|F||Simon의 행정행태론은 정치행정일원론으로 민주성을 강조하였다.
1960년대 발전행정론이 대두하면서 기존의 행정우위론과 대비되는 행정우위론의 입장에서 새일원론이 제기되었다.|F||1960년대 발전행정론이 대두하면서 기존의 행정우위론과 대비되는 정치우위론의 입장에서 새일원론이 제기되었다.
|T||행정은 경영보다 의회, 정당, 이익단체로부터 더 강한 비판과 통제를 받는다.
|F||경영은 시장실패 가능성 등의 이유로 엄격한 법적 규제를 받는 반면, 공익을 추구하는 행정은 법적 규제로부터 자유롭다.
|T||행정과 경영은 모두 관료제적 성격을 갖는 대규모 조직이라는 점에서 유사성을 갖는다.
"조장과 지원=공공서비스.
정부가 사업의 주체가 되거나 간접 지원함."|F||정부의 기능에 있어 조장 및 지원기능은 정부가 직접사업의 주체가 되지 않고 간접적으로 지원하는 기능이다.
|F||1930년대 대공황을 겪으면서 최소의 정부가 최선의 정부라는 신념이 중요시 되었다.
"시장실패에 대한 대응으로 나타난 큰 정부는 규제를 강화
규제 완화는 NPM"|F||시장실패에 대한 대응으로 나타난 큰 정부는 규제를 완화하고 사회보장, 의료보험 등 사회정책을 펼침으로써, 정부의 적극적 역할을 강조하였으며, 이러한 이유로 정부의 크기가 커졌다.
"20세기말 신행정국가: 작고 효율적인 정부
20세기 행정국가; 단일한 권한과 권위에 바탕한 책임성 제고"|F||20세기말 신행정국가는 강력하고 단일한 권한과 권위에 바탕한 책임성을 제고한다.
|T||신자유주의 정부는 민간부문에 대한 간섭과 규제가 최소화 또는 합리적으로 축소⋅조정되어야 한다는 입장에서 규제완화, 민영화 등을 강조한다.
|T||진보주의자는 조세제도를 통한 정부의 소득재분배 정책을 선호한다.
잠재력은 인정하나 실패할 수 있으며 이 경우 정부가 수정.|T||진보주의 정부는 효율과 공정에 대한 자유시장의 잠재력을 인정한다.
|F||사회적 규제는 개별 산업을 대상으로 이루어지는 규제이다.
사회적 규제|F||소비자안전규제, 산업재해규제, 환경규제 등은 경제적규제의 성격이 강하다.
|T||환경규제를 위한 정책수단 중 폐기물처리비 예치제도, 공해배출부과금제도, 보조금제도 등은 시장유인적 규제수단에 해당한다.
|F||관리규제란 정부가 특정한 사회문제 해결에 대한 목표달성 수준을 정하고 피규제자에게 이를 달성할 것을 요구하는 것이다.
|F||수단규제에서는 관리규제에 비해 유연한 규제설계가 가능해질 수 있다.
|T||공동규제는 정부로부터 위임을 받은 민간집단에 의해 이루어지는 규제로 자율규제와 직접규제의 중간 성격을 띤다.
|F||포지티브 규제(positive)는 네거티브(negative) 규제보다 피규제자의 자율성을 더 보장한다.
|T||윌슨의 규제정치모형에 따르면 환경규제 완화 상황인 경우에는 비용이 넓게 분산되고 감지된 편익이 좁게 집중되는 고객정치의 상황이 된다.
대중정치: 비용분산, 편익분산|F||교통체증 완화를 위한 차량 10부제 운행은 윌슨이 제시한 규제정치이론의 네 가지 유형 중 기업가정치에 해당한다.
자동차안전규제: 비용은 제조사 집중, 편익은 대중에게 분산|T||윌슨의 규제정치모형 중 기업가적 정치는 비용이 소수의 동질적 집단에 집중된 것으로 환경오염규제, 자동차안전규제, 위해물품규제 등이 좋은 예이다.
|F||윌슨의 규제정치 이론에서 대중정치는 한약 분쟁의 경우처럼 쌍방이 모두 조직적인 힘을 바탕으로 이익 확보를 위해 첨예하게 대립하는 정치상황이다.
|F||규제개혁은 규제관리 → 규제품질관리 → 규제완화 등의 단계로 진행되는 것이 일반적이다.
|F||｢행정규제기본법｣에 의하면 규제영향분석은 불필요한 정부규제를 완화하고자 할 때 현존하는 규제의 사회적편익과 비용을 점검하고 측정하는 체계적인 의사결정도구이다.
|F||｢행정규제기본법｣상 정부의 규제정책을 심의·조정하고 규제의 심사·정비 등에 관한 사항을 종합적으로 추진하기 위하여 국무총리 소속으로 규제개혁위원회를 두고 있다.
|T||｢행정규제기본법｣에 따르면, 규제의 존속기한은 원칙적으로 5년을 초과할 수 없다.
|T||집합재는 비경합성과 비배제성의 특징 때문에 과소공급과 과다공급의 쟁점을 야기시키는 만큼 원칙적으로 공공부문에서 공급해야 할 서비스이다.
|F||전기와 고속도로는 공공재의 성격을 갖고 있다. 
|T||시장재는 기본적인 수요조차 충족하기 어려운 저소득층이나 사회적 약자를 위해 부분적인 정부개입이 필요하다.
"요금재⇒자연독점
공유재⇒부정적 외부효과(과잉소비)"|F||요금재 서비스의 상당부분이 정부에서 공급되는 이유는 부정적 외부효과로 인한 시장실패에 대응해야 하기 때문이다.
부정적 외부효과(과잉소비)|F||공유지의 비극(the tragedy of the commons)은 한 사람의 선택 행위가 다른 사람에게 긍정적인 외부효과를 초래하는 것이다.
비용의 분산과 편익의 집중|F||공유지의 비극(the tragedy of the commons)은 비용의 집중과 편익의 분산관계로 인해 발생한다.
|F||Savas가 제시한 공공서비스 공급 유형론에 따르면, 자원봉사(voluntary service) 방식은 민간이 결정하고 정부가 공급하는 유형에 속한다.
|F||면허제(Franchise)는 공공서비스가 기술적으로 복잡하여 예측이 어렵고 서비스 목표달성의 방법을 정확히 알수 없는 경우 이용하는 방식이다.
|F||민간위탁 방식 중 계약 및 면허 방식의 공통점은 두 방식 모두 정부가 생산자에게 소요비용을 직접 지불한다는 것이다.
|F||전통적 행정서비스 공급은 수요자-공급자의 수평적 이용 구조이고, 바우처 제도는 수급자-제공기관의 수직적구조이다.
|T||BLT(Build Lease Transfer)는 민간의 투자자금으로 건설한 공공시설을 정부가 사업운영하여 민간에 임대료를 지불하는 방식으로, 운영종료 시점에 정부가 소유권을 이전받게 된다.
